"","Cast.Ballot","Represented","Close.To.Party","Contacted","log.Magnitude","Age","Age.Squared.by.100","Male","Education","Married","Union.Member","Household.Income","Rural","Small.Town","Suburb","White.Collar","Worker","Hakka","MinNan","Mainlander"
"60166",0,NA,NA,1,2.19722457733622,67,44.89,0,2,1,1,NA,1,0,0,NA,NA,0,1,0
"60167",1,0,NA,1,2.19722457733622,42,17.64,0,5,1,0,2,1,0,0,NA,NA,0,1,0
"60168",1,1,1,1,2.19722457733622,34,11.56,1,5,1,1,3,0,0,1,1,0,0,1,0
"60169",1,1,1,1,2.30258509299405,44,19.36,0,4,1,0,NA,0,0,1,0,0,0,1,0
"60170",1,1,1,1,1.79175946922805,44,19.36,1,7,0,0,2,0,0,1,0,1,0,1,0
"60171",1,1,1,1,1.09861228866811,32,10.24,1,7,1,0,3,1,0,0,1,0,0,0,1
"60172",0,1,1,1,2.19722457733622,28,7.84,1,8,0,0,4,0,0,1,1,0,0,1,0
"60173",1,0,0,1,1.70474809223843,23,5.29,0,6,0,1,NA,0,0,0,0,1,0,1,0
"60174",1,1,1,1,0.693147180559945,75,56.25,1,3,1,0,1,1,0,0,NA,NA,1,0,0
"60175",1,0,1,1,2.56494935746154,29,8.41,0,8,0,1,3,0,0,1,1,0,0,1,0
"60176",1,0,0,1,2.56494935746154,37,13.69,1,6,1,0,NA,0,0,1,1,0,1,0,0
"60177",1,0,1,1,2.56494935746154,21,4.41,1,8,0,0,5,0,0,1,NA,NA,1,0,0
"60178",1,0,0,1,2.30258509299405,65,42.25,1,1,1,0,1,1,0,0,0,0,0,1,0
"60179",1,NA,1,1,1.09861228866811,34,11.56,1,8,1,0,4,0,0,1,1,0,0,1,0
"60180",1,NA,1,1,2.19722457733622,53,28.09,0,3,1,0,1,0,0,1,NA,NA,0,1,0
"60181",1,0,1,1,2.30258509299405,26,6.76,0,8,0,0,4,0,0,0,1,0,0,0,1
"60182",1,NA,0,1,2.30258509299405,58,33.64,0,8,1,0,3,0,0,0,1,0,0,0,1
"60183",1,0,1,1,2.30258509299405,36,12.96,0,8,1,0,5,0,0,0,1,0,0,0,1
"60184",0,0,0,1,1.70474809223843,44,19.36,0,6,1,0,3,0,0,0,1,0,0,1,0
"60185",0,1,1,1,0,51,26.01,1,8,1,0,4,0,0,1,1,0,0,1,0
"60186",1,0,0,1,2.39789527279837,39,15.21,1,5,1,0,2,1,0,0,1,0,0,1,0
"60187",1,1,1,1,2.19722457733622,33,10.89,0,8,1,1,3,0,0,1,1,0,0,1,0
"60188",1,0,1,0,2.19722457733622,28,7.84,1,6,0,1,4,0,0,1,1,0,0,1,0
"60189",0,0,0,1,2.30258509299405,49,24.01,1,3,1,1,2,1,0,0,0,1,0,1,0
"60190",1,1,0,1,2.30258509299405,35,12.25,0,5,1,1,1,1,0,0,1,0,0,1,0
"60191",1,NA,0,0,2.30258509299405,66,43.56,0,2,1,0,NA,1,0,0,1,0,0,1,0
"60192",1,1,1,1,2.30258509299405,31,9.61,1,5,1,0,2,1,0,0,0,1,0,1,0
"60193",1,1,1,1,2.19722457733622,50,25,0,1,1,0,1,0,0,1,NA,NA,0,1,0
"60194",1,0,0,1,2.19722457733622,48,23.04,1,3,1,1,1,0,1,0,0,1,0,1,0
"60195",1,NA,0,1,1.94591014905531,49,24.01,0,7,1,1,4,0,0,1,1,0,0,1,0
"60196",0,1,1,1,2.30258509299405,53,28.09,1,2,1,0,1,0,0,0,1,0,0,1,0
"60197",1,0,0,1,2.30258509299405,38,14.44,0,8,1,0,5,0,0,1,1,0,0,1,0
"60198",1,1,1,1,2.30258509299405,51,26.01,1,6,1,0,1,0,0,1,0,0,0,1,0
"60199",1,0,1,1,2.30258509299405,21,4.41,0,6,0,0,4,0,0,1,NA,NA,0,1,0
"60200",1,1,0,0,1.09861228866811,61,37.21,0,1,1,0,2,0,0,1,0,0,0,1,0
"60201",1,1,1,1,1.09861228866811,28,7.84,1,5,0,0,2,0,0,1,0,0,0,1,0
"60202",1,1,0,1,1.09861228866811,48,23.04,0,3,1,1,1,0,0,1,0,0,0,1,0
"60203",1,0,0,1,2.30258509299405,34,11.56,0,8,0,0,5,0,0,0,1,0,0,0,1
"60204",0,0,0,1,1.70474809223843,30,9,0,6,0,0,3,0,0,0,1,0,0,1,0
"60205",1,0,1,0,1.70474809223843,63,39.69,1,3,1,0,4,0,0,0,NA,NA,0,1,0
